totalAssets,totalLiabilities,representativeId,date
156639178.8,290160.67,173,12/31/18
238050760,0,174,12/31/16
244050760,3957003,174,12/31/17
261131670,0,174,12/31/18
8905000,0,182,12/31/16
8905000,0,182,12/31/17
15060000,4000000,182,12/31/18
26300000,1068810,184,12/31/16
28350000,1900905,184,12/31/17
30185440,1234992.52,184,12/31/18
27420216.69,895266,186,12/31/17
28991378.89,50025.47,186,12/31/18
38805974.22,9000000,187,12/31/16
40835274.02,8107735.62,187,12/31/17
39217960.63,6431576.62,187,12/31/18
7727766.66,4142666.61,188,12/31/16
8205066.66,3584301.81,188,12/31/17
9160366.66,3025937.01,188,12/31/18
7833000,4612000,190,12/31/16
7159113.75,148452.71,191,12/31/16
8846235.19,251807.23,191,12/31/17
19780221,304037.63,191,12/31/18
58582000,8000000,192,12/31/16
69982000,11000000,192,12/31/17
73732000,11000000,192,12/31/18
15261137,0,199,12/31/16
16609137,0,199,12/31/17
18579137,0,199,12/31/18
143187418,22167618,200,12/31/16
162303215,22167618,200,12/31/17
240768989,50167618,200,12/31/18
20724275,0,201,12/31/16
23082342.81,0,201,12/31/17
29801662.37,0,201,12/31/18
12439300,0,205,12/31/16
13974500,0,205,12/31/17
14024500,0,205,12/31/18
8000000,0,207,12/31/17
11300000,4300000,207,12/31/18
2729482,554000,210,12/31/16
4234128.54,1684000,210,12/31/17
4410061.4,1462330.8,210,12/31/18
41861903.36,6862424.38,212,12/31/17
44186806.03,3556688.52,212,12/31/18
13087441,2000000,213,12/31/16
11935274.05,1500000,213,12/31/17
15247141.57,1500000,213,12/31/18
159375330.7,87188142.16,215,12/31/16
171238514.1,96669000,215,12/31/17
164732331.7,90669448.34,215,12/31/18
142900000,75000000,216,12/31/17
142900000,75000000,216,12/31/18
87500000,3500000,217,12/31/16
91500000,6000000,217,12/31/17
95500000,2500000,217,12/31/18
261037500,52800000,224,12/31/16
279787500,63800000,224,12/31/17
275337200,55000000,224,12/31/18
96411641,15173185.44,227,12/31/17
100774838.8,23986262.57,227,12/31/18
43950000,4970000,229,12/31/16
39167108.44,4970000,229,12/31/17
41417108.44,4970000,229,12/31/18
477940905.6,0,232,12/31/16
478238349.4,0,232,12/31/17
487609773.5,0,232,12/31/18
21644400,955508,233,12/31/16
15759400,198107.02,233,12/31/17
16958150,4189364.97,233,12/31/18
29469927.14,4512738.16,235,12/31/16
52514749.14,19436852.87,235,12/31/17
64523067.86,17177189.03,235,12/31/18
46040188.16,6057942.88,237,12/31/16
65336744.86,6297637.1,237,12/31/17
78565290.2,13953871.8,237,12/31/18
83100000,24000000,239,12/31/16
22730000,1600000,241,12/31/16
29805000,5500000,241,12/31/17
35080000,5310000,241,12/31/18
6251261.03,1720546.53,243,12/31/17
8900000,3052629.27,243,12/31/18
610496422.4,87885969.84,245,12/31/16
137208948.7,0,246,12/31/16
135048173.3,0,246,12/31/17
129734482.8,0,246,12/31/18
30200000,4400000,249,12/31/17
54200000,5400000,249,12/31/18
21955544,1582218,251,12/31/16
47612318,2238199,251,12/31/17
62914831,15738199,251,12/31/18
44600000,862000,252,12/31/16
46055463.1,2569937.67,252,12/31/17
46819775.03,522269.45,252,12/31/18
15500592,3629839,256,12/31/16
18476456,3795399,256,12/31/17
19661456,3329209,256,12/31/18
21176192.78,11346984,261,12/31/17
